date,first_name,last_name,email_address,Product,category,source,street_address,city,state,postal_code,country,returned,revenue,cost,Repeat Customer?
2022-02-10 16:44:11,Gwenette,Booy,gbooy0@usa.gov,"Lamb - Leg, Bone In",Shoes,mobile,9 Arizona Pass,El Paso,Texas,88541,United States,true,26.56,55.66,true
2022-09-15 05:25:18,Valli,Stoves,vstoves1@diigo.com,"Beef - Tongue, Fresh",Automotive,mobile,3587 Crescent Oaks Center,Denver,Colorado,80299,United States,true,77.23,81.86,false
2022-01-19 18:10:10,Clayborn,Simukov,csimukov2@behance.net,Beef Cheek Fresh,Jewelry,direct,6690 Southridge Drive,Baton Rouge,Louisiana,70883,United States,true,13.17,78.85,false
2023-04-25 08:06:06,Ray,Ravenhill,rravenhill3@blog.com,Wine - White Cab Sauv.on,Books,paid search,17 Brickson Park Way,Topeka,Kansas,66606,United States,true,5.18,34.1,false
2022-09-15 17:07:52,Steffen,Caroli,scaroli4@phoca.cz,"Beef - Kindney, Whole",Movies,video,4 Merrick Parkway,Santa Ana,California,92725,United States,true,85.27,11.34,true
2022-10-17 06:33:43,Shep,Celes,sceles5@bbb.org,Cookie Trail Mix,Baby,paid search,26345 New Castle Road,Jackson,Mississippi,39216,United States,true,22.26,52.67,false
2022-03-16 02:08:07,Wileen,January 1st,wjanuaryst6@wsj.com,"Star Anise, Whole",Health,paid social,8986 Ramsey Hill,Beaverton,Oregon,97075,United States,true,98.34,71.89,true
2022-11-25 02:06:42,Cary,Earwaker,cearwaker7@ucoz.com,Lettuce - California Mix,Sports,mobile,58 6th Crossing,Hialeah,Florida,33018,United States,true,82.63,7.7,true
2022-10-29 17:26:37,Shannen,Kordova,skordova8@amazon.de,Cheese - Brie Roitelet,Kids,paid search,9618 Esch Drive,Washington,District of Columbia,20244,United States,true,59.54,73.94,false
2022-06-25 09:01:11,Godart,Stower,gstower9@simplemachines.org,Creme De Menth - White,Sports,paid social,3090 Briar Crest Lane,Washington,District of Columbia,20392,United States,false,43.07,94.7,true
2022-02-28 22:25:50,Sibel,Jeffryes,sjeffryesa@bloglines.com,Danishes - Mini Raspberry,Movies,paid search,2213 Di Loreto Court,Hampton,Virginia,23668,United States,true,13.21,71.45,true
2022-10-16 11:30:18,Reilly,Beveridge,rbeveridgeb@opera.com,Pork - Backfat,Health,paid social,3687 Nevada Park,Los Angeles,California,90101,United States,true,78.47,84.91,true
2023-09-19 17:52:43,Uriah,Hubbert,uhubbertc@nhs.uk,Foam Cup 6 Oz,Industrial,direct,2707 Straubel Point,Springfield,Illinois,62764,United States,true,7.02,62.38,false
2022-08-10 09:39:03,Tamar,Stoddard,tstoddardd@ebay.com,Sausage - Chorizo,Books,mobile,5937 Union Plaza,South Bend,Indiana,46620,United States,false,69.73,7.51,true
2023-01-22 23:36:30,Shirlee,Thorp,sthorpe@indiatimes.com,"Pasta - Shells, Medium, Dry",Automotive,promotions,59 Lakeland Crossing,Washington,District of Columbia,20067,United States,true,40.87,44.78,false
2022-12-26 21:31:11,Art,Gavini,agavinif@devhub.com,Sping Loaded Cup Dispenser,Jewelry,direct,2 Glacier Hill Court,Pueblo,Colorado,81015,United States,false,10.23,69.43,false
2022-03-28 16:11:35,Harlan,Archell,harchellg@newyorker.com,Long Island Ice Tea,Garden,direct,2 Badeau Hill,San Diego,California,92137,United States,true,19.27,20.58,false
2022-11-08 03:59:48,Onfre,Robarts,orobartsh@upenn.edu,Fiddlehead - Frozen,Beauty,paid social,9423 Kenwood Center,Tallahassee,Florida,32314,United States,false,50.43,87.87,true
2022-07-12 17:48:48,Liam,Franciskiewicz,lfranciskiewiczi@cafepress.com,"Tomatoes - Plum, Canned",Electronics,direct,95 Marquette Park,Honolulu,Hawaii,96810,United States,true,29.15,56.04,true
2023-03-09 10:46:21,Conrade,Digginson,cdigginsonj@dell.com,Capers - Pickled,Sports,paid social,4 Fairfield Plaza,Denver,Colorado,80235,United States,false,31.64,78.02,true
2023-03-20 06:13:21,Fergus,Risbie,frisbiek@tumblr.com,Ice Cream Bar - Oreo Cone,Garden,direct,0 Old Gate Place,Houston,Texas,77065,United States,true,78.28,99.4,true
2022-10-08 05:49:30,Ashley,MacAdam,amacadaml@cdbaby.com,Beef Dry Aged Tenderloin Aaa,Shoes,mobile,71 Browning Pass,Palatine,Illinois,60078,United States,true,48.57,44.72,false
2023-03-23 12:14:12,Fonzie,Willison,fwillisonm@sina.com.cn,Eggplant - Asian,Toys,paid search,9 Westend Terrace,Spring,Texas,77386,United States,true,83.94,21.44,true
2022-02-22 08:29:15,Madelin,Necolds,mnecoldsn@domainmarket.com,"Pepper - Paprika, Spanish",Kids,direct,7 Veith Terrace,New Brunswick,New Jersey,08922,United States,false,53.6,51.21,false
2022-10-12 17:01:41,Ryon,Sigert,rsigerto@wix.com,Bols Melon Liqueur,Clothing,paid search,66 Lillian Hill,Springfield,Massachusetts,01105,United States,false,93.12,16.3,true
2022-08-10 18:06:21,Hayes,Surr,hsurrp@earthlink.net,Lambcasing,Sports,paid search,09396 Old Gate Hill,Modesto,California,95354,United States,true,38.78,3.13,true
2023-09-25 08:14:49,Niel,De Dei,ndedeiq@imgur.com,"Appetizer - Mini Egg Roll, Shrimp",Clothing,direct,989 Fairview Pass,Orlando,Florida,32891,United States,true,54.1,6.9,false
2023-06-26 19:24:22,Pietrek,Phateplace,pphateplacer@taobao.com,Pasta - Ravioli,Electronics,direct,50 Truax Parkway,Albany,Georgia,31704,United States,true,10.42,23.84,true
2022-05-26 14:50:14,Trisha,Stilgoe,tstilgoes@exblog.jp,"Soup - Campbells, Classic Chix",Garden,paid search,5 Daystar Street,Omaha,Nebraska,68144,United States,true,66.05,76.37,true
2023-08-31 12:07:37,Lay,Pipe,lpipet@newsvine.com,Towels - Paper / Kraft,Books,direct,9915 Mayfield Lane,San Antonio,Texas,78250,United States,true,1.76,20.83,false
2022-02-05 06:57:12,Yolande,Conkling,yconklingu@smugmug.com,Bread - 10 Grain Parisian,Industrial,paid social,4482 Prentice Circle,Bronx,New York,10474,United States,false,36.43,49.54,false
2022-10-21 21:45:02,Fidole,Behr,fbehrv@creativecommons.org,Sauce - Soy Low Sodium - 3.87l,Garden,paid search,2201 2nd Circle,Sioux Falls,South Dakota,57198,United States,true,4.04,51.86,true
2022-08-29 22:11:43,Robin,Layfield,rlayfieldw@bloglines.com,Coffee - 10oz Cup 92961,Books,direct,1 Grasskamp Plaza,Little Rock,Arkansas,72231,United States,true,70.36,71.16,false
2022-11-10 22:27:02,Christyna,Ledington,cledingtonx@unicef.org,Cream - 18%,Games,direct,96333 Bay Park,Decatur,Georgia,30089,United States,true,24.09,90.78,false
2022-12-21 17:38:02,Chlo,Pretsel,cpretsely@deviantart.com,Crackers - Melba Toast,Grocery,paid search,6 Westerfield Alley,Orange,California,92867,United States,false,35.94,17.12,true
2023-06-14 10:32:58,Tiff,McIntosh,tmcintoshz@webnode.com,Caviar - Salmon,Computers,paid search,8 Crescent Oaks Crossing,Orlando,Florida,32885,United States,true,44.63,51.82,true
2022-01-16 20:50:08,Even,Doeg,edoeg10@multiply.com,Sprouts - Brussel,Baby,direct,09 Fordem Lane,Saint Louis,Missouri,63196,United States,true,28.58,84.86,false
2022-02-05 14:06:28,Madonna,Rembrandt,mrembrandt11@a8.net,"Sauce - White, Mix",Health,direct,98 Norway Maple Avenue,El Paso,Texas,79968,United States,true,70.05,77.7,false
2022-09-12 16:41:35,Selinda,Wythill,swythill12@vk.com,Cheese - Victor Et Berthold,Beauty,paid search,207 Bowman Park,Riverside,California,92519,United States,true,73.98,99.54,true
2023-01-26 18:41:44,Allianora,Ratchford,aratchford13@miitbeian.gov.cn,Chips - Doritos,Electronics,mobile,214 Debs Plaza,Cincinnati,Ohio,45228,United States,false,11.95,81.12,true
2023-06-17 09:45:02,Sunny,Percifull,spercifull14@shareasale.com,Eggwhite Frozen,Baby,direct,5 Lawn Road,Bronx,New York,10474,United States,true,56.49,89.61,true
2022-05-12 06:26:43,Toinette,Sabbatier,tsabbatier15@disqus.com,"Appetizer - Spring Roll, Veg",Toys,direct,1464 Carey Lane,Oakland,California,94605,United States,true,18.84,63.78,false
2023-01-09 02:01:25,Nessie,Kimbly,nkimbly16@timesonline.co.uk,"Lamb - Leg, Diced",Baby,mobile,9409 Cascade Alley,Amarillo,Texas,79116,United States,true,50.03,81.28,false
